Created by Online2PDF.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2018                                                                                                                                                                                                                 cpcbenvis.nic.in/waterpollution/2009/RIVER GANGA.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2009 | ENVIS CPCB,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,TEMPERATURE ºC,,,D.O. (mg/l),,,pH,,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,NITRATE- N (mg/l),,,NITRITE- N (mg/l),,,FECAL COLIFORM (MPN/100ml),,,TOTAL COLIFORM (MPN/100ml),,
,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
WATER QUALITY CRITERIA,,,,,> 4 mg/l,,,6.5-8.5,,,< 2250 µmhos/cm,,,< 3 mg/l,,,,,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
1491,"BHAGIRATHI AT GANGOTRI, UT",4.0,7.8,5.9,8.4,10.0,9.2,7.0,7.4,7.2,107,110,109,1.0,1.0,1.0,,,,,,,990,990,990,71000,71000,71000
1484,ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG,12.0,18.4,14.2,8.0,9.4,8.7,7.1,7.7,7.4,120,540,232,0.5,2.8,1.2,0.20,0.20,0.20,,,,2900,9900,6400,79000,171000,125000
1485,MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG,12.0,18.4,16.1,8.2,9.5,8.8,7.1,7.7,7.5,68,103,82,0.3,2.4,1.1,0.23,0.23,0.23,,,,2100,21000,11550,65000,75000,70000
1486,ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG,12.0,18.2,14.8,8.2,9.3,8.9,7.3,7.9,7.5,103,130,110,0.8,1.6,1.1,0.23,0.23,0.23,,,,2200,11700,6950,85000,88000,86500
1487,ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG,13.0,22.0,17.3,7.5,9.6,8.6,7.4,7.8,7.6,86,141,116,0.8,1.4,1.1,0.23,0.23,0.23,,,,3100,11900,7500,89000,102000,95500
1488,BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG,12.0,22.0,18.1,7.6,9.1,8.7,7.1,7.9,7.5,76,186,114,0.5,2.8,1.2,0.22,0.22,0.22,,,,2100,40000,21050,29000,200000,114500
1489,ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,13.0,22.0,17.8,8.0,9.2,8.6,7.3,8.0,7.6,101,175,129,0.5,2.0,1.3,0.26,0.26,0.26,,,,2200,30000,16100,66000,210000,138000
1060,"GANGA AT RISHIKESH U/S, UT",10.0,27.0,17.4,8.0,9.1,8.7,7.2,8.7,7.8,104.5,110,107,0.2,2.5,1.4,,,,,,,,,,2,4,3
