Created by Online2PDF.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2018                                                                                                                                                                                                                 cpcbenvis.nic.in/waterpollution/2010/RIVER GANGA.htm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2010 | CPCB ENVIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,TEMPERATURE ºC,,,D.O. (mg/l),,,pH,,,"CONDUCTIVITY
(µmhos/cm)",,,,B.O.D. (mg/l),,,NITRATE- N (mg/l),,,NITRITE- N (mg/l),,,FECAL COLIFORM (MPN/100ml),,,TOTAL COLIFORM (MPN/100ml),,
,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
WATER QUALITY CRITERIA,,,,,> 4 mg/l,,,6.5-8.5,,,< 2250 µmhos/cm,,,,< 3 mg/l,,,,,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
1491,BHAGIRATHI AT GANGOTRI,7.0,7.0,7.0,8.4,8.4,8.4,7.8,7.8,7.8,123,,123,123,-,-,-,,,,,,,,,,,,
1484,ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG,4.0,19.4,13.9,4.5,11,8.9,7.2,8.7,7.8,73,,172,131,1.0,7.0,2.7,,,,,,,230,4000,1032,4600,37000,17320
1485,MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG,4.5,19.3,13.1,8,10.6,9.6,7.2,8.8,7.8,63,,177,99,0.6,5.6,2.1,,,,,,,420,9000,4710,22000,43000,32500
1486,ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG,5.0,17.4,13.8,5.4,10.8,8.8,7.2,8.9,7.8,87,,184,138,0.6,2.8,1.6,,,,,,,230,15000,4103,11000,93000,43500
1487,ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG,6.0,22.0,15.0,4.3,10.4,8.8,7.1,8.9,7.8,117,,178,146,0.6,5.0,1.8,,,,,,,420,9000,2700,20000,48000,34000
1488,BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG,5.5,22.0,15.0,6.4,10.5,8.8,7.2,8.9,7.8,99,,147,119,0.2,4.2,1.7,0.30,0.30,0.30,,,,2,740,343,4000,55000,23250
1489,ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,7.0,21.5,15.1,7.8,11.8,9.4,7.1,9.0,7.9,116,,172,136,0.2,4.2,2.0,0.30,0.30,0.30,,,,460,4000,1648,15000,75000,34000
1060,GANGA AT RISHIKESH U/S,14.3,26.0,19.0,7.18,10,9.0,7.0,8.9,7.7,85,,263,126,0.6,1.8,1.0,,,,,,,4,4,4,3,20,13
