Created by Online2PDF.com,,,,,,,,,,,,,,,,,,,,,,,,,,
11/29/2018                                                                                                                                                                                                                 cpcbenvis.nic.in/waterpollution/2011/RIVER GANGA.htm,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2011 |CPCB ENVIS,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2011,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,,,D.O. (mg/l),,,pH,,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,"NITRATE- N+ NITRITE-N
(mg/l)",,,FECAL COLIFORM (MPN/100ml),,,TOTAL COLIFORM (MPN/100ml),,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
WATER QUALITY CRITERIA,,,,,,> 4 mg/l,,,6.5-8.5,,,,,,< 3 mg/l,,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
1491,BHAGIRATHI AT GANGOTRI,UTTARAKHAND,3.0,8.0,5.5,8.0,8.9,8.5,7.7,8.1,7.9,88,102,95,,,,0.00,0.30,0.15,,,,,,
1484,ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG,UTTARAKHAND,10.0,21.0,16.6,8.6,12.2,9.6,7.2,8.7,8.0,105,193,145,,,,0.00,0.50,0.08,700,4300,2500,9300,9300,9300
1485,MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG,UTTARAKHAND,10.0,20.0,16.6,7.0,9.8,8.8,7.3,8.7,8.0,67,205,115,,,,0.00,0.50,0.08,1500,2100,1800,4300,46000,25150
1486,ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG,UTTARAKHAND,10.0,22.0,17.6,8.6,10.3,9.3,7.6,8.6,8.1,84,194,150,0.6,0.8,0.7,0.00,0.50,0.08,9300,24000,16650,46000,46000,46000
1487,ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG,UTTARAKHAND,12.0,22.0,18.4,7.7,11.4,9.1,7.4,8.6,8.1,104,196,141,0.6,1.9,1.2,0.00,0.60,0.09,900,9300,5100,4300,15000,9650
1488,BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG,UTTARAKHAND,12.0,22.0,18.3,7.6,9.8,8.6,7.4,8.5,8.0,92,188,135,1.0,1.0,1.0,0.00,0.40,0.06,400,900,650,2100,4300,3200
1489,ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG,UTTARAKHAND,12.0,22.0,18.4,8.0,10.2,8.7,7.4,8.5,8.1,106,167,132,0.6,0.8,0.7,0.00,0.50,0.08,9300,46000,27650,24000,110000,67000
1060,GANGA AT RISHIKESH U/S,UTTARAKHAND,11.4,19.5,17.1,8.0,11.0,9.1,7.0,8.4,7.7,94,148,121,0.2,3.0,1.7,,,,,,,5,200,99
