Created by Online2PDF.com,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY DATA 2014 | CPCB ENVIS,,,,,,,,,,,,,,,,,,,,,,,,,,
WATER QUALITY OF RIVER GANGA - 2014,,,,,,,,,,,,,,,,,,,,,,,,,,
STATION CODE,LOCATIONS,STATE,TEMPERATURE ºC,,,D.O. (mg/l),,,pH,,,"CONDUCTIVITY
(µmhos/cm)",,,B.O.D. (mg/l),,,NITRATE- N+ NITRITE-N (mg/l),,,FECAL COLIFORM (MPN/100ml),,,TOTAL COLIFORM (MPN/100ml),,
,,,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean,Min,Max,Mean
WATER QUALITY CRITERIA,,,,,,> 4 mg/l,,,6.5-8.5,,,,,,< 3 mg/l,,,,,,< 2500 MPN/100ml,,,< 5000 MPN/100ml,,
1484,"ALKANANDA B/C MANDAKINI AT RUDRA PRAYAG, UTTAR PRADESH",UTTARAKHAND,16.0,19.0,17.5,7.8,9.2,8.5,8.0,8.2,8.1,,,,0.6,0.8,0.7,0,0,0,,,,,,
1485,"MANDAKINI B/C ALKALNADA AT RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,15.0,18.0,16.3,8.6,9.0,8.8,8.0,8.2,8.1,,,,0.6,0.8,0.7,0,0,0,,,,,,
1486,"ALKANANDA A/C MANDAKINI AT RUDRAPRAYAG, UTTAR PRADESH",UTTARAKHAND,15.0,19.0,16.7,7.4,8.4,8.1,7.8,8.2,8.0,,,,0.8,1.2,1.0,0,0,0,,,,,,
1487,"ALKANANDA B/C TO BHAGIRATHI AT DEVPRAYAG, UTTAR PRADESH",UTTARAKHAND,16.0,19.0,17.3,7.4,9.0,8.4,7.8,8.2,8.1,,,,1.0,1.0,1.0,0,0,0,,,,,,
1488,"BHAGIRATHI B/C WITH ALAKNANDA AT DEVPRAYAG, U.P",UTTARAKHAND,16.0,19.0,17.0,7.8,9.4,8.7,7.9,8.2,8.1,,,,0.6,1.2,0.9,0,0,0,,,,,,
1489,"ALKANANDA A/C WITH BHAGIRATHI AT DEVPRAYAG, UTTAR PRADESH",UTTARAKHAND,16.0,19.0,17.0,7.4,8.8,8.2,7.9,8.2,8.0,,,,0.8,1.2,1.1,0,0,0,,,,,,
1060,"GANGA AT RISHIKESH U/S, U.P",UTTARAKHAND,13.0,20.0,17.2,7.4,9.6,8.7,7.3,8.0,7.7,,,,0.8,1.4,1.1,0,0,0,,,,4,40,22
2725,GANGA RIVER AFTER CONFLUENCE OF RIVER SONG NEAR SATYANARAYAN TEMPLE D/S RAIWALA,UTTARAKHAND,15.0,25.0,21.0,6.2,7.6,6.9,7.5,8.7,7.8,,,,1.4,12.0,5.2,0,0,0,,,,220,1600,908
